,נפגעים - הרוגים,נפגעים - קל,תאונות - כללי - קטלניות,תאונות - כללי - קלות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - נפגעים - קל,תאונות - דו גלגלי - תאונות - קטלניות,נפגעים - קשה,תאונות - משאית - נפגעים - קל,תאונות - כללי - קשות,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קלות,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - תאונות - קשות,תאונות - משאית - נפגעים - קשה
3866::צומת נס הרים:כניסה לנס הרים ממערב,1,3,1,2,1,1,1,0,0,0,0,0,0,0,0
8993::כניסה לחרבת אדמית:כניסה לאדמית,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0
3922::כניסה לאזור תעשייה כנות (צפון):כניסה לאזור תעשייה כנות (דרום),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4233::צומת נען:כניסה לנען,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4304::צומת מצליח:כניסה למצליח,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4311::צומת לגן שורק:כניסה לאזור תעשיה,0,8,0,4,0,1,0,0,0,0,0,0,0,0,0
4313::צומת נס ציונה (צפון):כניסה לבאר יעקב,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4313::כניסה לאזור תעשיה:כניסה לצריפין שער י-ם,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
4623::כניסה לנחלים:כניסה לנופך,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
5066::צומת יקיר:כניסה ליקיר,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5066::כניסה ליקיר קטן:כניסה לקנה,0,16,0,3,0,0,0,1,1,1,0,0,0,0,0
5066::צומת לעמנואל:כניסה לג'ינסאפוט,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5504::צומת כפר סבא מזרח/ קבר בנימין:כניסה לניר אליהו,0,6,0,4,0,2,0,0,0,0,1,1,0,0,0
"5613::צומת פרדסייה:כניסה לבי""ח פרדסייה",0,3,0,2,0,0,0,0,2,0,0,0,0,0,0
"5613::כניסה לבי""ח פרדסייה:כניסה לצור משה",0,2,0,1,0,0,0,1,2,1,0,0,1,1,0
5613::כניסה לצור משה:כניסה לגאולים,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5614::צומת קלנסווה:כניסה לקלנסווה,0,4,0,1,0,1,0,1,0,1,0,0,1,0,0
5711::צומת רופין:כניסה למדרשת רופין,0,5,0,2,0,1,0,1,0,1,0,0,0,0,0
5714::צומת ניצני עוז:כניסה ליד חנה,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0
5720::צומת חפר:מפגש עם מסילת ברזל,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6400::צומת משהד:כניסה להר יונה,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0
