,נפגעים - הרוגים,נפגעים - קשה,נפגעים - קל,תאונות - כללי - קטלניות,תאונות - כללי - קשות,תאונות - כללי - קלות,תאונות - הולכי רגל - נפגעים - הרוגים,תאונות - הולכי רגל - נפגעים - קשה,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קטלניות,תאונות - הולכי רגל - תאונות - קשות,תאונות - הולכי רגל - תאונות - קלות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - נפגעים - קל,תאונות - דו גלגלי - תאונות - קטלניות,תאונות - דו גלגלי - תאונות - קשות,תאונות - דו גלגלי - תאונות - קלות,תאונות - משאית - נפגעים - קשה,תאונות - משאית - נפגעים - קל,תאונות - משאית - תאונות - קשות,תאונות - משאית - נפגעים - הרוגים,תאונות - משאית - תאונות - קטלניות
1,8,12,93,8,6,38,2,1,1,2,1,1,2,6,7,2,4,4,1,10,1,0,0
2,1,20,93,1,19,45,0,0,0,0,0,0,1,15,11,1,14,8,3,5,3,0,0
4,12,45,455,12,37,185,2,5,9,3,4,7,4,15,28,4,13,18,5,48,3,5,5
5,3,11,125,3,9,57,1,0,2,1,0,2,0,3,11,0,3,9,1,10,1,1,1
6,5,23,147,5,18,44,1,0,2,1,0,0,1,7,2,1,7,1,9,30,6,2,2
7,1,0,12,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
20,3,17,162,3,17,93,0,1,3,0,1,2,2,15,38,2,15,28,2,6,2,0,0
22,1,2,46,1,2,16,0,0,0,0,0,0,1,1,2,1,1,1,0,5,0,0,0
25,2,7,138,2,7,45,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,1,1
31,1,4,51,1,3,17,0,1,0,0,1,0,1,1,2,1,1,1,0,5,0,0,0
38,2,9,6,2,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0
40,8,28,279,7,22,106,0,2,4,0,2,4,2,8,5,2,7,2,0,16,0,1,1
41,1,0,6,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
44,2,4,86,2,3,37,0,0,2,0,0,1,2,1,4,2,0,2,0,8,0,0,0
45,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3,6,43,2,6,16,0,0,0,0,0,1,0,2,1,0,2,0,0,1,0,0,0
57,3,4,68,3,3,28,0,0,2,0,0,2,2,1,1,2,0,0,2,5,2,0,0
60,5,12,221,5,6,77,2,0,0,2,0,0,0,0,13,0,0,6,0,15,0,0,0
65,4,12,236,4,10,79,0,1,1,0,1,1,2,1,4,2,1,2,3,16,1,4,4
70,2,18,251,2,16,73,0,2,4,0,2,2,1,9,13,1,9,4,1,25,1,0,0
73,1,1,25,1,1,11,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0
75,1,8,94,1,8,37,0,1,0,0,1,0,0,2,4,0,2,2,1,5,1,1,1
77,3,8,78,1,6,23,0,1,2,0,1,1,0,3,0,0,2,0,1,18,0,3,1
80,2,3,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,17,331,1,14,86,0,0,1,0,0,1,0,6,9,0,5,2,0,5,0,0,0
89,9,11,148,4,6,29,0,0,1,0,0,1,1,3,1,1,3,1,0,5,0,0,0
90,11,18,170,10,9,44,2,2,0,2,0,0,1,1,0,1,1,0,1,5,0,7,6
91,1,3,30,1,1,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
98,1,4,47,1,3,13,0,0,1,0,0,1,0,0,2,0,0,2,0,3,0,0,0
99,1,0,26,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2,7,50,2,5,12,0,0,0,0,0,0,1,0,0,1,0,0,3,12,1,1,1
234,1,3,17,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
264,1,1,15,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1
316,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,2,1,41,2,1,13,0,0,0,0,0,0,2,1,3,2,1,0,0,0,0,0,0
386,1,2,10,1,2,4,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0
411,1,2,22,1,0,10,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,1,0
431,3,6,45,3,5,18,0,0,0,0,0,0,2,4,4,2,4,3,1,3,0,0,0
437,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
443,1,5,40,1,4,17,1,1,0,1,1,0,0,2,1,0,2,0,0,0,0,0,0
446,1,3,20,1,2,7,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0
461,1,6,38,1,6,21,0,1,1,0,1,1,0,1,5,0,1,5,1,0,0,0,0
471,2,8,38,2,7,13,0,0,0,0,0,0,2,5,6,2,5,3,1,2,1,2,2
505,4,10,34,3,6,10,1,0,0,1,0,0,0,1,1,0,1,1,1,4,0,1,1
553,2,0,20,2,0,11,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
574,2,5,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,1,1,17,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
596,1,0,23,1,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
784,3,17,54,3,7,16,1,1,0,1,1,0,1,1,1,1,0,1,6,4,1,0,0
