,נפגעים - קשה,נפגעים - קל,תאונות - כללי - קשות,תאונות - כללי - קלות,תאונות - דו גלגלי - נפגעים - קל,נפגעים - הרוגים,תאונות - כללי - קטלניות,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קלות,תאונות - משאית - נפגעים - קל,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - תאונות - קשות,תאונות - משאית - נפגעים - קשה,תאונות - הולכי רגל - נפגעים - קשה,תאונות - הולכי רגל - תאונות - קשות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - תאונות - קטלניות,תאונות - דו גלגלי - תאונות - קלות,תאונות - משאית - תאונות - קשות,תאונות - משאית - נפגעים - הרוגים,תאונות - משאית - תאונות - קטלניות,תאונות - הולכי רגל - נפגעים - הרוגים,תאונות - הולכי רגל - תאונות - קטלניות
1::כניסה לאל-זעים:צומת אלון,1,20,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1::כניסה למצפה יריחו:כניסה לורד יריחו,2,24,0,6,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2::כניסה לתחנת דלק:צומת הרצלייה,1,20,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2::צומת נוף ים:כניסה לרשפון,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2::כניסה לרשפון:כניסה לגעש,3,10,3,4,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0
2::כניסה ליקום:כניסה למכון וינגייט,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2::כניסה לאודים:צומת אלכסנדר,10,24,9,12,3,1,1,0,0,0,7,6,1,1,1,1,1,3,0,0,0,0,0
3::כניסה לכפר ורבורג:כניסה לקריית מלאכי (דרום),1,28,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לתחנת דלק:כניסה לבני ראם,1,15,1,4,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
3::כניסה ליד בנימין:כניסה ליסודות,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לטל שחר:כניסה לפארק קנדה,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5::צומת גלילות:כניסה לפנימייה,1,13,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5::כניסה לפנימייה:גשר הולכי רגל (מרכז טניס),3,24,3,13,6,0,0,0,0,3,2,2,1,0,0,0,0,4,1,0,0,0,0
12::כניסה לברנע:צומת סיירים,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20::גשר יצחק רבין:כניסה לתיכון הולץ,5,58,5,40,15,2,2,1,1,1,2,2,1,2,2,1,1,13,1,0,0,0,0
20::כניסה לתיכון הולץ:גשר מוזס,8,52,8,31,11,0,0,1,1,3,7,7,1,0,0,0,0,11,1,0,0,0,0
25::כניסה לדימונה:כניסה לאל-הוואשלה,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה להתישבות בדואים:כניסה לנבטים,2,28,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לתפרח:כניסה לתחנת נסיונית,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לחווה (מגדה):כניסה לשיבולים,2,45,2,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
31::כניסה לתחנת דלק (:כניסה לחורה,1,19,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31::כניסה לחורה:כניסה להר דרגות,1,4,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
31::כניסה להר דרגות:כניסה לא תעשייה ערד,1,5,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
34::צומת יכיני:כניסה לגבים,1,5,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35::צומת ברכיה:כניסה למצודת יואב,1,21,1,10,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
35::כניסה למצודת יואב:כניסה ליד נתן,2,12,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"35::כניסה לקק""ל:כניסה לקריית גת",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35::כניסה לשדה משה:כניסה ליער המלאכים,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35::כניסה ליער המלאכים:כניסה לתל מורשה,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35::צומת גוברין:כניסה לנחושה,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35::כניסה לנחושה:צומת תרקומיא,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35::צומת תרקומיא:צומת הזכוכית,1,10,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38::כניסה למצפה משואה:כניסה לתל עזקה,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38::כניסה לכפר זכריה:כניסה לרמת בית שמש (דרום),2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לא תעשייה מ רמון:כניסה לכלא נפחא,2,9,0,1,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40::כניסה למדרשת בן גוריון:כניסה לשדה בוקר,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לשדה בוקר (צפון):כניסה לתחנת דלק,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לתחנת דלק:כניסה למשאבי שדה,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לרמת בקע:כניסה לתחנת דלק,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לתחנת דלק:צומת רמת חובב,2,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::צומת רמת חובב:צומת להבים,3,65,3,24,0,3,3,0,0,11,0,0,0,0,0,1,1,0,0,1,1,0,0
40::צומת להבים:כניסה לאחוזם,1,10,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לאחוזם:כניסה לעוזה,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לעוזה:צומת פלוגות,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::צומת פלוגות:כניסה לניר בנים,4,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40::צומת תלמי יחיאל:כניסה לתחנת דלק,11,128,9,42,0,3,3,0,0,14,1,1,0,0,0,1,1,0,0,1,1,0,0
40::כניסה לתחנת דלק:צומת ראם (מסמיה),11,128,9,42,0,3,3,0,0,14,1,1,0,0,0,1,1,0,0,1,1,0,0
40::צומת ראם (מסמיה):כניסה לברורים,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40::כניסה לקדרון:כניסה לגבעת ברנר,1,4,1,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"40::כניסה לבי""ח קפלן:כניסה לסתרייה",4,8,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40::כניסה לישרש:כניסה לפיקוד העורף/רמלה (קלאו*,3,21,2,8,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לפיקוד העורף/רמלה (קלאו*:צומת אחיסמך,3,4,2,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
40::כניסה ללוד (מרכז):צומת תעשייה אווירית,4,28,3,12,0,0,0,0,0,2,1,1,2,0,0,0,0,0,1,0,0,0,0
40::צומת תעשייה אווירית:כניסה לבארות יצחק,1,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לנחלים (דרום):כניסה לנחלים (צפון),1,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40::כניסה לכפר הבפטיסטים:כניסה לעדנים (דרום),1,33,1,14,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
